iter	RMSE
0	14.57540971
1	14.16011636
2	13.78167818
3	13.37817229
4	13.04822009
5	12.660604
6	12.30500236
7	12.00384824
8	11.69900457
9	11.3886507
10	11.12183284
11	10.84966999
12	10.59459795
13	10.37028053
14	10.15339504
15	9.973377543
16	9.786479164
17	9.601854389
18	9.429082664
19	9.242237337
20	9.104621364
21	8.926901673
22	8.787342683
23	8.629353536
24	8.496446556
25	8.382087109
26	8.261840506
27	8.135131001
28	8.03059637
29	7.912975298
30	7.820507672
31	7.720718082
32	7.632964695
33	7.530165552
34	7.44775789
35	7.361749415
36	7.27490116
37	7.184084246
38	7.117190868
39	7.049050221
40	6.99652713
41	6.932836531
42	6.867230226
43	6.815803759
44	6.756199175
45	6.691963869
46	6.644659292
47	6.610480812
48	6.573135197
49	6.527562635
50	6.48326152
51	6.444692486
52	6.407054031
53	6.361023954
54	6.323009972
55	6.291617989
56	6.261288474
57	6.233885778
58	6.205397803
59	6.174063835
60	6.150830752
61	6.113775885
62	6.088743015
63	6.058088438
64	6.039595202
65	6.0149768
66	5.991313329
67	5.967678252
68	5.947541821
69	5.932856912
70	5.905456174
71	5.889798251
72	5.873722065
73	5.858429956
74	5.840028299
75	5.825539065
76	5.808596727
77	5.79336371
78	5.773408734
79	5.756983367
80	5.745814828
81	5.734203564
82	5.718060483
83	5.706383658
84	5.692363761
85	5.681163139
86	5.667087938
87	5.657115927
88	5.645229293
89	5.63460559
90	5.626271018
91	5.618761074
92	5.609238243
93	5.601306785
94	5.594415492
95	5.589757914
96	5.580144747
97	5.569381598
98	5.563579568
99	5.556659599
100	5.54943248
101	5.541781884
102	5.535134082
103	5.529894195
104	5.524371597
105	5.51326074
106	5.506016408
107	5.494461665
108	5.485899554
109	5.480940367
110	5.474799275
111	5.468629458
112	5.461955064
113	5.458204988
114	5.453250326
115	5.448725997
116	5.445007723
117	5.439950493
118	5.435714606
119	5.430981341
120	5.427827633
121	5.424117489
122	5.419025408
123	5.412557623
124	5.40779074
125	5.402274281
126	5.399772099
127	5.39600171
128	5.391498909
129	5.387592481
130	5.384655522
131	5.378929796
132	5.375878102
133	5.372502533
134	5.368744697
135	5.365205862
136	5.362668526
137	5.357764588
138	5.353052186
139	5.34919969
140	5.34560449
141	5.34151084
142	5.337015991
143	5.333705761
144	5.331315621
145	5.32930112
146	5.32601805
147	5.32345341
148	5.320899132
149	5.318641294
150	5.316445877
151	5.313155858
152	5.309751635
153	5.306461455
154	5.303640946
155	5.301100734
156	5.299125232
157	5.296968823
158	5.295394429
159	5.29417818
160	5.293792899
161	5.288835264
162	5.285425583
163	5.283473305
164	5.279835152
165	5.274386627
166	5.271504846
167	5.270924159
168	5.269344548
169	5.267454312
170	5.264370896
171	5.262731269
172	5.259329185
173	5.255155875
174	5.253100585
175	5.247220349
176	5.245848565
177	5.244328458
178	5.24116935
179	5.23873218
180	5.23664693
181	5.234872424
182	5.230635778
183	5.229005151
184	5.227282014
185	5.22540693
186	5.224396066
187	5.222631883
188	5.221451365
189	5.219990406
190	5.216911059
191	5.21586996
192	5.21419265
193	5.210979275
194	5.207404015
195	5.205631799
196	5.20343509
197	5.201888559
198	5.200356116
199	5.198882662
