iter	Passed	Remaining
0	57	57844
1	58	29093
2	58	19491
3	58	14685
4	59	11804
5	59	9897
6	60	8527
7	60	7507
8	60	6716
9	61	6078
10	61	5560
11	62	5123
12	62	4751
13	62	4433
14	63	4158
15	63	3915
16	64	3702
17	64	3513
18	64	3344
19	65	3190
20	65	3051
21	65	2927
22	66	2813
23	66	2708
24	67	2617
25	67	2527
26	67	2444
27	68	2368
28	68	2300
29	69	2233
30	69	2169
31	69	2110
32	70	2056
33	70	2003
34	70	1955
35	71	1911
36	71	1868
37	72	1827
38	72	1788
39	73	1752
40	73	1716
41	73	1681
42	74	1650
43	74	1619
44	74	1589
45	75	1560
46	75	1532
47	75	1506
48	76	1481
49	76	1456
50	76	1432
51	77	1410
52	77	1388
53	78	1368
54	78	1348
55	78	1329
56	79	1310
57	79	1292
58	79	1274
59	80	1257
60	80	1240
61	81	1225
62	81	1210
63	81	1195
64	82	1182
65	82	1168
66	82	1153
67	83	1140
68	83	1127
69	83	1114
70	84	1101
71	84	1089
72	84	1077
73	85	1067
74	85	1056
75	86	1047
76	86	1037
77	86	1027
78	87	1017
79	87	1007
80	87	997
81	88	988
82	88	977
83	88	968
84	89	959
85	89	951
86	89	943
87	90	935
88	90	927
89	91	920
90	91	912
91	91	905
92	92	897
93	92	891
94	92	884
95	93	877
96	93	870
97	93	864
98	94	857
99	94	852
100	95	845
101	95	839
102	95	833
103	96	827
104	96	822
105	96	816
106	97	810
107	97	805
108	98	801
109	98	796
110	98	791
111	99	786
112	99	780
113	99	775
114	100	771
115	100	766
116	100	761
117	101	756
118	101	752
119	102	748
120	102	743
121	102	738
122	102	734
123	103	730
124	103	725
125	104	721
126	104	717
127	104	713
128	105	709
129	105	705
130	105	701
131	106	697
132	106	693
133	106	690
134	107	686
135	107	683
136	107	680
137	108	677
138	108	673
139	109	670
140	109	667
141	109	662
142	110	659
143	110	656
144	110	653
145	111	650
146	111	647
147	111	644
148	112	641
149	112	638
150	113	635
151	113	632
152	113	629
153	114	626
154	114	623
155	114	621
156	115	619
157	115	617
158	116	615
159	116	613
160	116	609
161	117	607
162	117	604
163	118	602
164	118	599
165	118	597
166	119	594
167	119	592
168	119	589
169	120	587
170	120	584
171	121	582
172	121	580
173	121	577
174	122	575
175	122	573
176	122	571
177	123	568
178	123	566
179	123	564
180	124	562
181	124	560
182	124	557
183	125	555
184	125	553
185	126	551
186	126	549
187	126	548
188	127	545
189	127	543
190	127	541
191	128	539
192	128	537
193	128	535
194	129	533
195	129	531
196	130	530
197	130	529
198	131	527
199	131	526
200	131	524
201	132	523
202	132	521
203	133	519
204	133	517
205	133	515
206	134	514
207	134	512
208	134	510
209	135	508
210	135	507
211	136	505
212	136	503
213	136	502
214	137	500
215	137	499
216	137	497
217	138	495
218	138	493
219	138	492
220	139	490
221	139	488
222	139	487
223	140	485
224	140	484
225	141	483
226	141	481
227	141	480
228	142	478
229	142	477
230	142	475
231	143	474
232	143	473
233	144	471
234	144	470
235	145	469
236	145	469
237	146	468
238	147	468
239	147	467
240	147	466
241	148	464
242	148	463
243	149	462
244	149	461
245	150	459
246	150	458
247	150	456
248	151	455
249	151	454
250	151	452
251	152	451
252	152	450
253	152	448
254	153	447
255	153	445
256	153	444
257	154	443
258	154	442
259	154	440
260	155	439
261	155	438
262	155	436
263	156	435
264	156	434
265	157	433
266	157	432
267	157	430
268	158	429
269	158	428
270	158	427
271	159	426
272	159	425
273	159	423
274	160	423
275	160	422
276	161	421
277	162	420
278	162	419
279	162	418
280	163	417
281	163	416
282	163	415
283	164	414
284	164	413
285	164	411
286	165	410
287	165	409
288	166	408
289	166	407
290	166	406
291	167	405
292	167	404
293	167	403
294	168	402
295	168	400
296	168	399
297	169	398
298	169	397
299	169	396
300	170	395
301	170	394
302	171	393
303	171	392
304	171	391
305	172	390
306	172	389
307	172	388
308	173	387
309	173	386
310	173	385
311	174	384
312	174	383
313	175	382
314	175	381
315	176	381
316	177	381
317	178	383
318	179	382
319	179	382
320	180	381
321	180	380
322	180	379
323	181	378
324	181	377
325	181	376
326	182	375
327	182	374
328	182	373
329	183	372
330	183	371
331	183	370
332	184	369
333	184	368
334	184	367
335	185	366
336	185	365
337	186	364
338	186	363
339	186	362
340	187	361
341	187	360
342	187	359
343	188	358
344	188	358
345	189	357
346	189	356
347	189	355
348	190	354
349	190	353
350	190	352
351	191	352
352	191	351
353	192	351
354	192	350
355	193	349
356	193	349
357	194	348
358	194	347
359	194	346
360	195	345
361	195	344
362	195	343
363	196	343
364	196	342
365	197	341
366	197	340
367	197	339
368	198	338
369	198	337
370	198	337
371	199	336
372	199	335
373	199	334
374	200	333
375	200	332
376	200	332
377	201	331
378	201	330
379	202	329
380	202	328
381	202	328
382	203	327
383	203	326
384	203	325
385	204	324
386	204	324
387	204	323
388	205	322
389	206	322
390	206	322
391	207	321
392	207	320
393	208	320
394	208	319
395	209	319
396	209	318
397	209	317
398	210	316
399	210	315
400	210	315
401	211	314
402	211	313
403	212	312
404	212	312
405	212	311
406	213	310
407	213	310
408	213	309
409	214	308
410	214	307
411	215	306
412	215	306
413	215	305
414	216	304
415	216	303
416	216	303
417	217	302
418	217	301
419	217	300
420	218	300
421	218	299
422	219	298
423	219	298
424	219	297
425	220	296
426	220	295
427	220	295
428	221	294
429	221	293
430	222	293
431	222	292
432	223	292
433	223	291
434	224	291
435	224	290
436	224	289
437	225	288
438	225	288
439	225	287
440	226	286
441	226	286
442	227	285
443	227	284
444	227	284
445	228	283
446	228	282
447	228	282
448	229	281
449	229	280
450	229	279
451	230	279
452	230	278
453	230	277
454	231	277
455	231	276
456	232	275
457	232	275
458	232	274
459	233	273
460	233	273
461	233	272
462	234	271
463	234	271
464	234	270
465	235	269
466	235	268
467	236	268
468	236	267
469	236	267
470	237	266
471	238	266
472	239	266
473	239	266
474	240	265
475	240	264
476	241	264
477	241	263
478	241	263
479	242	262
480	242	261
481	242	261
482	243	260
483	243	259
484	243	259
485	244	258
486	244	257
487	245	257
488	245	256
489	245	255
490	246	255
491	246	254
492	246	253
493	247	253
494	247	252
495	247	251
496	248	251
497	248	250
498	248	249
499	249	249
500	249	248
501	249	247
502	250	247
503	250	246
504	251	246
505	251	245
506	251	244
507	252	244
508	252	243
509	252	243
510	254	243
511	254	242
512	255	242
513	256	242
514	256	241
515	256	240
516	257	240
517	257	239
518	258	239
519	258	238
520	258	238
521	259	237
522	259	236
523	260	236
524	260	235
525	261	235
526	261	234
527	261	234
528	262	233
529	262	232
530	263	232
531	263	231
532	263	231
533	264	230
534	265	231
535	266	231
536	267	230
537	268	230
538	268	229
539	269	229
540	269	228
541	270	228
542	270	227
543	271	227
544	271	226
545	273	227
546	273	226
547	274	226
548	275	226
549	275	225
550	276	225
551	276	224
552	277	224
553	277	223
554	277	222
555	278	222
556	278	221
557	279	221
558	279	220
559	280	220
560	280	219
561	280	218
562	281	218
563	301	232
564	301	232
565	302	231
566	303	231
567	304	231
568	304	231
569	305	230
570	305	229
571	306	229
572	306	228
573	307	228
574	307	227
575	308	226
576	308	226
577	309	225
578	321	233
579	321	233
580	322	232
581	322	231
582	323	231
583	323	230
584	323	229
585	324	229
586	324	228
587	325	227
588	325	227
589	325	226
590	326	225
591	326	225
592	326	224
593	327	223
594	327	223
595	328	222
596	328	221
597	328	221
598	329	220
599	329	219
600	329	218
601	330	218
602	330	217
